ISIN Div Payout/ ISIN Growth	Net Asset Value
	
	
	
	
	
INF209KA12Z1	114.2257
INF209K01YM2	114.5221
INF209K01YO8	111.2402
INF209K01LX6	161.4414
INF209K01LU2	111.1018
INF209K01LN7	108.0255
INF209K01LR8	110.9611
INF209K01LS6	110.8058
INF209K01LV0	319.5614
INF209K01LT4	479.7029
INF209K01YN0	329.6644
	
	
	
INF846K01NF8	1532.8272
-	1039.1034
INF846K01CR6	2364.2961
INF846K01CT2	1036.9435
INF846K01CV8	1038.2027
INF846K01NG6	1289.4075
-	1039.0696
INF846K01CB0	2304.3682
INF846K01CF1	1036.7377
INF846K01CD6	1038.2003
	
	
	
INF194K019M8	12.3190
-	10.4763
-	10.4680
INF194K015G8	22.0572
INF194K016G6	11.6031
-	10.4554
INF194K018M0	10.8350
INF194K015M6	11.3341
-	10.8779
-	10.6234
INF194K01SN6	21.5478
INF194K01SO4	11.6358
-	10.6985
INF194K014M9	10.7392
	
	
	
INF955L01KF1	10.2281
INF955L01KC8	11.1950
INF955L01KD6	10.3984
INF955L01JX6	11.0310
INF955L01KA2	10.1455
INF955L01JY4	10.2554
	
	
	
INF760K01KC4	10.6408
INF760K01KE0	10.3773
INF760K01KF7	10.6084
INF760K01KH3	10.3453
	
	
	
INF740K01ZW2	21.5362
INF740K01A18	10.5464
-	10.1582
INF740K01ZX0	10.2543
INF740K01ZZ5	10.2960
INF740KA1OG5	10.1582
INF740K01ZP6	20.8993
INF740K01ZU6	10.5331
-	10.1579
INF740K01ZQ4	10.2460
INF740K01ZS0	10.2896
INF740KA1OJ9	10.1579
	
	
	
INF843K01FC8	22.0761
INF843K01FD6	18.2686
INF843K01FG9	14.5385
INF843K01FI5	10.9568
INF843K01FF1	10.5602
INF843K01FK1	21.4227
INF843K01FL9	17.6341
INF843K01FO3	14.1572
INF843K01FQ8	11.2008
INF843K01FN5	10.1549
	
	
	
INF090I01KR8	20.3579
INF090I01KO5	19.6019
INF090I01KS6	11.0070
INF090I01KP2	10.4620
	
	
	
INF179KA1JC4	20.068
INF179KA1IZ7	20.7509
INF179KA1JD2	10.1541
INF179KA1JA8	10.0448
	
	
	
-	11.1889
INF917K01HH5	22.2375
INF917K01HJ1	11.2897
-	10.3621
-	11.1137
INF677K01AE7	21.2549
INF677K01AI8	10.7248
-	10.3344
	
	
	
INF109K01WS5	10.0549
INF109K01WR7	10.2427
INF109KA1B57	15.8889
INF109K01Z89	10.2538
INF109K010A6	29.6032
INF109K011A4	12.5859
INF109K013A0	10.3708
INF109KA1B40	13.8665
INF109KA1M96	13.1098
INF109K01RT3	28.5681
INF109K01YE1	10.6713
INF109KA1M70	12.9261
INF109K01WW7	10.0122
INF109K01II5	21.631
INF109K01WV9	10.3305
	
	
	
-	1010.5233
INF205K01KT4	2095.3356
-	1031.3949
INF205K01KU2	1012.8197
INF205K01JV2	1967.9697
INF205K01JW0	1032.8559
	
	
	
INF00XX01861	11.6062
INF00XX01879	11.6062
INF00XX01838	11.4224
INF00XX01846	11.4224
	
	
	
INF174K01FS4	16.1842
-	10.188
INF174K01SE7	10.2604
INF174K01FO3	56.9152
INF174K01FQ8	10.693
INF174K01KI5	17.1427
